Job_Role,Skills
AI Architect,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
AI Consultant,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
AI Product Manager,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
AI Research Scientist,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
AI Software Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
AI Specialist,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Accountant,"accounting, auditing, financial reporting, gaap, quickbooks, tax planning, tax preparation"
Administrative Assistant,"excel, ms office"
Autonomous Systems Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Back-End Developer,"java, jwt, oauth, python"
Business Analyst,"data analysis, data modeling, data visualization, sql, tableau"
Computer Vision Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Data Analyst,"aws, azure, big data, computer vision, data analysis, data modeling, data preprocessing, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes"
Data Engineer,"aws, azure, big data, computer vision, data modeling, data visualization, deep learning, docker, etl, gcp, git, hadoop, java, kubernetes, linux"
Data Scientist,"aws, azure, big data, computer vision, data preprocessing, data visualization, data warehousing, deep learning, docker, etl, gcp, git, hadoop, java, kubernetes"
Database Administrator,"auditing, data analysis, data modeling, data visualization, java, python, sql, vulnerability assessment"
Database Developer,"cassandra, data modeling, mongodb, sql"
Deep Learning Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Finance Manager,"accounting, budgeting, financial analysis, financial reporting, forecasting, risk management"
Financial Advisor,"portfolio management, tax planning"
Financial Analyst,"data analysis, excel, financial analysis, forecasting, portfolio management"
Financial Controller,"accounting, budgeting, excel, financial analysis, financial reporting, gaap, oracle, quickbooks, risk management, sap"
Financial Planner,"financial analysis, tax planning"
Front-End Developer,"css, html, javascript"
Front-End Engineer,"angular, javascript, react"
HR Coordinator,"hris, recruitment"
HR Generalist,"hris, onboarding, recruitment"
HR Manager,"auditing, employee relations, performance management"
Head of AI,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Human Resources Manager,"employee relations, onboarding, recruitment"
IT Manager,"aws, azure, budgeting, cybersecurity, project management, risk management, vendor management"
IT Support Specialist,"cybersecurity, project management"
Investment Analyst,"data analysis, financial analysis, financial modeling, risk management"
Investment Banker,"data analysis, financial analysis, financial modeling, investment analysis, portfolio management, valuation"
Java Developer,"git, java, spring"
ML Ops Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Machine Learning Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Machine Learning Researcher,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
NLP Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Network Administrator,"aws, azure, cisco, ethical hacking, firewall, network security, networking, vulnerability assessment, wireless networking"
Network Engineer,"network security, penetration testing, vulnerability assessment"
Network Security Specialist,"cybersecurity, penetration testing, siem"
Office Manager,"budgeting, process improvement, vendor management"
Operations Manager,"budgeting, data analysis, financial analysis, forecasting, logistics, process improvement, procurement, supply chain"
Principal Data Scientist,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Procurement Coordinator,"procurement, supply chain"
Procurement Manager,"data analysis, procurement, supply chain, vendor management"
Procurement Specialist,"data analysis, procurement, supply chain"
Project Coordinator,"budgeting, microsoft office, project management"
Project Manager,"budgeting, jira, project management, risk management"
QA Analyst,python
QA Engineer,process improvement
Research Scientist,"aws, azure, computer vision, data analysis, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops"
Robotics Engineer,"aws, azure, computer vision, data visualization, deep learning, docker, gcp, git, hadoop, java, kubernetes, linux, mathematics, mlops, natural language processing"
Software Architect,"aws, azure, docker, kubernetes"
Software Developer,"java, kotlin, react, swift"
Software Engineer,"angular, ansible, aws, azure, bash, css, django, docker, gcp, git, html, java, javascript, kubernetes, python"
Software Tester,"java, python"
Supply Chain Analyst,"inventory management, supply chain"
Supply Chain Manager,"data analysis, erp, forecasting, inventory management, logistics, supply chain"
Systems Administrator,"mysql, oracle, sql, sql server"
Systems Analyst,process improvement
Systems Engineer,"aws, azure, devops"
Tax Consultant,"financial analysis, tax planning"
UI Developer,"css, html, javascript"
Web Developer,"angular, css, html, javascript, mongodb, python, react, sql"
